author_name,title
"Danielle Steel","Moral compass"
"Danielle Steel","The numbers game"
"Danielle Steel","The wedding dress"
"Danielle Steel","Daddy's girls"
"Danielle Steel",Royal
"Danielle Steel","All that glitters"
"Danielle Steel",Neighbors
"Danielle Steel","The affair"
"Stuart Woods",Treason
"Stuart Woods","Choppy water"
"Stuart Woods",Hush-hush
"Stuart Woods","Double jeopardy"
"James Patterson and James O. Born",Lost
"James Patterson and James O. Born",Blindside
"James Patterson and James O. Born","The russian"
"John Grisham","The guardians"
"John Grisham","Camino winds"
"John Grisham","A time for mercy"
"David Baldacci","A minute to midnight"
"David Baldacci","Walk the wire"
"David Baldacci",Daylight
"John Sandford","Masked prey"
"John Sandford","Ocean prey"
"Jack Carr","Savage son"
"Jack Carr","The devil's hand"
"Harlan Coben","The boy from the woods"
"Harlan Coben",Win
"C.J. Box","Long range"
"C.J. Box","Dark sky"
"Patricia Briggs","Smoke bitten"
"Patricia Briggs","Wild sign"
"Clive Cussler and Graham Brown","Journey of the pharaohs"
"Clive Cussler and Graham Brown","Fast ice"
"Steve Berry","The warsaw protocol"
"Steve Berry","The kaiser's web"
"J.D. Robb","Shadows in death"
"J.D. Robb","Faithless in death"
"Joanne Fluke","Coconut layer cake murder"
"Joanne Fluke","Triple chocolate cheesecake murder"
"Mark Greaney","One minute out"
"Mark Greaney",Relentless
"Jonathan Kellerman","The museum of desire"
"Jonathan Kellerman",Serpentine
"Lisa Gardner","When you see me"
"Lisa Gardner","Before she disappeared"
"Douglas Preston and Lincoln Child","Crooked river"
"Douglas Preston and Lincoln Child","The scorpion's tail"
"James Patterson","Criss cross"
"James Patterson","Deadly cross"
"Nora Roberts",Hideaway
"Nora Roberts","The awakening"
"Stephen King","The institute"
"Stephen King","If it bleeds"
"Michael Connelly","Fair warning"
"Michael Connelly","The law of innocence"
"Janet Evanovich","Fortune and glory"
"Janet Evanovich","Twisted twenty-six"
"Marc Cameron","Tom clancy: code of honor"
"Marc Cameron","Tom clancy: shadow of the dragon"
"Karen Kingsbury","Someone like you"
"Karen Kingsbury","Truly, madly, deeply"
"Elin Hilderbrand","28 summers"
"Elin Hilderbrand","Troubles in paradise"
"Debbie Macomber","A walk along the beach"
"Debbie Macomber","Jingle all the way"
"Jim Butcher","Peace talks"
"Jim Butcher","Battle ground"
"JR Ward","The sinner"
"JR Ward","The jackal"
"Ta-Nehisi Coates","Between the world and me"
"Ta-Nehisi Coates","The water dancer"
"Patrick Radden Keefe","Say nothing"
"Patrick Radden Keefe","Empire of pain"
"Pete Hegseth","Modern warriors"
"Pete Hegseth","American crusade"
"Pete Souza",Obama
"Pete Souza",Shade
"Jon Meacham","The hope of glory"
"Jon Meacham","His truth is marching on"
