weeks_on_list,publisher,title,author,contributor,age_group,published_date,list_name
1,Putnam,OCEAN PREY,John Sandford,by John Sandford,,2021-05-02,Hardcover Fiction
3,Viking,THE HILL WE CLIMB,Amanda Gorman,by Amanda Gorman,,2021-05-02,Hardcover Fiction
1,Emily Bestler/Atria,THE DEVIL'S HAND,Jack Carr,by Jack Carr,,2021-05-02,Hardcover Fiction
11,St. Martin's,THE FOUR WINDS,Kristin Hannah,by Kristin Hannah,,2021-05-02,Hardcover Fiction
20,Viking,THE MIDNIGHT LIBRARY,Matt Haig,by Matt Haig,,2021-05-02,Hardcover Fiction
3,"Little, Brown",THE RED BOOK,James Patterson and David Ellis,by James Patterson and David Ellis,,2021-05-02,Hardcover Fiction
1,St. Martin's,THE GOOD SISTER,Sally Hepworth,by Sally Hepworth,,2021-05-02,Hardcover Fiction
25,Tor/Forge,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,by V.E. Schwab,,2021-05-02,Hardcover Fiction
5,Grand Central,WIN,Harlan Coben,by Harlan Coben,,2021-05-02,Hardcover Fiction
1,Harper,STARGAZER,Anne Hillerman,by Anne Hillerman,,2021-05-02,Hardcover Fiction
7,Knopf,KLARA AND THE SUN,Kazuo Ishiguro,by Kazuo Ishiguro,,2021-05-02,Hardcover Fiction
1,Ballantine,WHEN THE STARS GO DARK,Paula McLain,by Paula McLain,,2021-05-02,Hardcover Fiction
2,Ecco,GOOD COMPANY,Cynthia D'Aprix Sweeney,by Cynthia D'Aprix Sweeney,,2021-05-02,Hardcover Fiction
46,Riverhead,THE VANISHING HALF,Brit Bennett,by Brit Bennett,,2021-05-02,Hardcover Fiction
2,Viking,NORTHERN SPY,Flynn Berry,by Flynn Berry,,2021-05-02,Hardcover Fiction
2,Viking,THE HILL WE CLIMB,Amanda Gorman,by Amanda Gorman,,2021-04-25,Hardcover Fiction
10,St. Martin's,THE FOUR WINDS,Kristin Hannah,by Kristin Hannah,,2021-04-25,Hardcover Fiction
19,Viking,THE MIDNIGHT LIBRARY,Matt Haig,by Matt Haig,,2021-04-25,Hardcover Fiction
1,Ecco,GOOD COMPANY,Cynthia D'Aprix Sweeney,by Cynthia D'Aprix Sweeney,,2021-04-25,Hardcover Fiction
2,"Little, Brown",THE RED BOOK,James Patterson and David Ellis,by James Patterson and David Ellis,,2021-04-25,Hardcover Fiction
1,Knopf,FIRST PERSON SINGULAR,Haruki Murakami,by Haruki Murakami,,2021-04-25,Hardcover Fiction
1,Viking,NORTHERN SPY,Flynn Berry,by Flynn Berry,,2021-04-25,Hardcover Fiction
24,Tor/Forge,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,by V.E. Schwab,,2021-04-25,Hardcover Fiction
4,Grand Central,WIN,Harlan Coben,by Harlan Coben,,2021-04-25,Hardcover Fiction
6,Knopf,KLARA AND THE SUN,Kazuo Ishiguro,by Kazuo Ishiguro,,2021-04-25,Hardcover Fiction
1,Random House,YOU LOVE ME,Caroline Kepnes,by Caroline Kepnes,,2021-04-25,Hardcover Fiction
6,Atria/Emily Bestler,LIFE AFTER DEATH,Sister Souljah,by Sister Souljah,,2021-04-25,Hardcover Fiction
45,Riverhead,THE VANISHING HALF,Brit Bennett,by Brit Bennett,,2021-04-25,Hardcover Fiction
3,Putnam,ETERNAL,Lisa Scottoline,by Lisa Scottoline,,2021-04-25,Hardcover Fiction
6,Park Row,THE LOST APOTHECARY,Sarah Penner,by Sarah Penner,,2021-04-25,Hardcover Fiction
