author_name,author_id,"Number of books"
"Danielle Steel",32,8
"Stuart Woods",28,4
"James Patterson and James O. Born",40,3
"John Grisham",48,3
"David Baldacci",67,3
"Jack Carr",3,2
"Harlan Coben",9,2
"C.J. Box",27,2
"Patricia Briggs",30,2
"Clive Cussler and Graham Brown",31,2
"Steve Berry",38,2
"J.D. Robb",39,2
"Joanne Fluke",41,2
"Mark Greaney",47,2
"Jonathan Kellerman",54,2
"Lisa Gardner",56,2
"Douglas Preston and Lincoln Child",59,2
"James Patterson",60,2
"John Sandford",1,2
"Nora Roberts",68,2
"Stephen King",70,2
"Michael Connelly",71,2
"Janet Evanovich",72,2
"Marc Cameron",76,2
"Karen Kingsbury",87,2
"Elin Hilderbrand",88,2
"Debbie Macomber",91,2
"Jim Butcher",97,2
"JR Ward",122,2
"Ta-Nehisi Coates",197,2
"Patrick Radden Keefe",203,2
"Pete Hegseth",264,2
"Pete Souza",276,2
"Jon Meacham",307,2
