weeks_on_list,publisher,title,author,contributor,age_group,published_date,list_name
1,St. Martin's,ON THE HOUSE,John Boehner,by John Boehner,,2021-05-02,Hardcover Nonfiction
6,Simon & Schuster,THE CODE BREAKER,Walter Isaacson,by Walter Isaacson,,2021-05-02,Hardcover Nonfiction
2,Crown,BROKEN HORSES,Brandi Carlile,by Brandi Carlile,,2021-05-02,Hardcover Nonfiction
1,Doubleday,EMPIRE OF PAIN,Patrick Radden Keefe,by Patrick Radden Keefe,,2021-05-02,Hardcover Nonfiction
26,Crown,GREENLIGHTS,Matthew McConaughey,by Matthew McConaughey,,2021-05-02,Hardcover Nonfiction
37,Random House,CASTE,Isabel Wilkerson,by Isabel Wilkerson,,2021-05-02,Hardcover Nonfiction
58,Dial,UNTAMED,Glennon Doyle,by Glennon Doyle,,2021-05-02,Hardcover Nonfiction
2,Holt,BROKEN,Jenny Lawson,by Jenny Lawson,,2021-05-02,Hardcover Nonfiction
2,Celadon,FINDING FREEDOM,Erin French,by Erin French,,2021-05-02,Hardcover Nonfiction
11,Viking,THINK AGAIN,Adam Grant,by Adam Grant,,2021-05-02,Hardcover Nonfiction
2,Gallery,BEAUTIFUL THINGS,Hunter Biden,by Hunter Biden,,2021-05-02,Hardcover Nonfiction
2,Doubleday,THE GOD EQUATION,Michio Kaku,by Michio Kaku,,2021-05-02,Hardcover Nonfiction
2,Morrow,THE LIGHT OF DAYS,Judy Batalion,by Judy Batalion,,2021-05-02,Hardcover Nonfiction
9,One World,THE SUM OF US,Heather McGhee,by Heather McGhee,,2021-05-02,Hardcover Nonfiction
22,Crown,A PROMISED LAND,Barack Obama,by Barack Obama,,2021-05-02,Hardcover Nonfiction
1,Crown,BROKEN HORSES,Brandi Carlile,by Brandi Carlile,,2021-04-25,Hardcover Nonfiction
1,Celadon,FINDING FREEDOM,Erin French,by Erin French,,2021-04-25,Hardcover Nonfiction
1,Holt,BROKEN,Jenny Lawson,by Jenny Lawson,,2021-04-25,Hardcover Nonfiction
1,Gallery,BEAUTIFUL THINGS,Hunter Biden,by Hunter Biden,,2021-04-25,Hardcover Nonfiction
1,Morrow,THE LIGHT OF DAYS,Judy Batalion,by Judy Batalion,,2021-04-25,Hardcover Nonfiction
5,Simon & Schuster,THE CODE BREAKER,Walter Isaacson,by Walter Isaacson,,2021-04-25,Hardcover Nonfiction
1,Doubleday,THE GOD EQUATION,Michio Kaku,by Michio Kaku,,2021-04-25,Hardcover Nonfiction
25,Crown,GREENLIGHTS,Matthew McConaughey,by Matthew McConaughey,,2021-04-25,Hardcover Nonfiction
36,Random House,CASTE,Isabel Wilkerson,by Isabel Wilkerson,,2021-04-25,Hardcover Nonfiction
4,"Little, Brown",THIS IS THE FIRE,Don Lemon,by Don Lemon,,2021-04-25,Hardcover Nonfiction
57,Dial,UNTAMED,Glennon Doyle,by Glennon Doyle,,2021-04-25,Hardcover Nonfiction
1,Norton,PHILIP ROTH,Blake Bailey,by Blake Bailey,,2021-04-25,Hardcover Nonfiction
10,Viking,THINK AGAIN,Adam Grant,by Adam Grant,,2021-04-25,Hardcover Nonfiction
21,Crown,A PROMISED LAND,Barack Obama,by Barack Obama,,2021-04-25,Hardcover Nonfiction
8,One World,THE SUM OF US,Heather McGhee,by Heather McGhee,,2021-04-25,Hardcover Nonfiction
4,Simon & Schuster,THE CODE BREAKER,Walter Isaacson,by Walter Isaacson,,2021-04-18,Hardcover Nonfiction
24,Crown,GREENLIGHTS,Matthew McConaughey,by Matthew McConaughey,,2021-04-18,Hardcover Nonfiction
35,Random House,CASTE,Isabel Wilkerson,by Isabel Wilkerson,,2021-04-18,Hardcover Nonfiction
1,Knopf,THE BEAUTY OF LIVING TWICE,Sharon Stone,by Sharon Stone,,2021-04-18,Hardcover Nonfiction
56,Dial,UNTAMED,Glennon Doyle,by Glennon Doyle,,2021-04-18,Hardcover Nonfiction
9,Viking,THINK AGAIN,Adam Grant,by Adam Grant,,2021-04-18,Hardcover Nonfiction
7,One World,THE SUM OF US,Heather McGhee,by Heather McGhee,,2021-04-18,Hardcover Nonfiction
20,Crown,A PROMISED LAND,Barack Obama,by Barack Obama,,2021-04-18,Hardcover Nonfiction
3,"Little, Brown",THIS IS THE FIRE,Don Lemon,by Don Lemon,,2021-04-18,Hardcover Nonfiction
1,Norton,A WORLD ON THE WING,Scott Weidensaul,by Scott Weidensaul,,2021-04-18,Hardcover Nonfiction
10,HarperCollins,JUST AS I AM,Cicely Tyson with Michelle Burford,by Cicely Tyson with Michelle Burford,,2021-04-18,Hardcover Nonfiction
7,Knopf,HOW TO AVOID A CLIMATE DISASTER,Bill Gates,by Bill Gates,,2021-04-18,Hardcover Nonfiction
1,Harper,ROCK ME ON THE WATER,Ronald Brownstein,by Ronald Brownstein,,2021-04-18,Hardcover Nonfiction
